FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19015,Boone County,IA,IA,Boone,228,0.533,0.395,13984,7458,5517,0.568,0.412,15306,8695,6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17007,Boone County,IL,IL,Boone,229,0.542,0.396,22604,12261,8952,0.558,0.42,24672,13762,10372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,Boone County,IN,IN,Boone,230,0.613,0.318,32061,19654,10181,0.581,0.396,38500,22351,15244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21015,Boone County,KY,KY,Boone,231,0.679,0.261,57570,39082,15026,0.669,0.312,66953,44811,20897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29019,Boone County,MO,MO,Boone,232,0.434,0.493,83312,36146,41072,0.424,0.549,91004,38596,49999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31011,Boone County,NE,NE,Boone,233,0.802,0.144,2867,2299,414,0.825,0.155,3217,2653,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54005,Boone County,WV,WV,Boone,234,0.749,0.206,8654,6483,1783,0.756,0.226,9012,6816,2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48033,Borden County,TX,TX,Borden,235,0.904,0.085,365,330,31,0.959,0.039,412,395,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48035,Bosque County,TX,TX,Bosque,236,0.811,0.164,7797,6325,1277,0.819,0.171,9094,7446,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22015,Bossier Parish,LA,LA,Bossier,237,0.712,0.254,49818,35451,12638,0.697,0.287,54655,38074,15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51023,Botetourt County,VA,VA,Botetourt,238,0.717,0.241,18641,13369,4492,0.717,0.271,21071,15102,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38009,Bottineau County,ND,ND,Bottineau,239,0.722,0.214,3437,2482,734,0.742,0.237,3471,2575,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8013,Boulder County,CO,CO,Boulder,240,0.219,0.706,176735,38766,124715,0.203,0.776,193656,39289,150247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16021,Boundary County,ID,ID,Boundary,241,0.736,0.181,5150,3789,933,0.782,0.193,6313,4937,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,Bourbon County,KS,KS,Bourbon,242,0.729,0.221,5918,4314,1306,0.75,0.23,6550,4910,1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21017,Bourbon County,KY,KY,Bourbon,243,0.633,0.317,8795,5569,2791,0.642,0.342,9643,6190,3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48037,Bowie County,TX,TX,Bowie,244,0.723,0.256,34470,24913,8831,0.708,0.28,38194,27053,10692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38011,Bowman County,ND,ND,Bowman,245,0.817,0.128,1769,1445,227,0.842,0.138,1657,1395,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31013,Box Butte County,NE,NE,Box Butte,246,0.746,0.2,4761,3550,953,0.772,0.203,5181,4002,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49003,Box Elder County,UT,UT,Box Elder,247,0.624,0.11,16548,10324,1814,0.798,0.166,26312,20984,4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21019,Boyd County,KY,KY,Boyd,248,0.664,0.294,20454,13591,6021,0.658,0.326,21741,14295,7083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31015,Boyd County,NE,NE,Boyd,249,0.856,0.112,1142,978,128,0.876,0.117,1153,1010,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21021,Boyle County,KY,KY,Boyle,250,0.621,0.331,12938,8040,4281,0.613,0.366,14467,8872,5298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21023,Bracken County,KY,KY,Bracken,251,0.769,0.2,3527,2711,705,0.8,0.188,4244,3397,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12007,Bradford County,FL,FL,Bradford,252,0.737,0.242,12098,8913,2924,0.757,0.232,13650,10334,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42015,Bradford County,PA,PA,Bradford,253,0.707,0.247,25399,17957,6263,0.716,0.267,30143,21586,8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,Bradley County,AR,AR,Bradley,254,0.592,0.361,3652,2163,1317,0.64,0.332,3644,2332,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47011,Bradley County,TN,TN,Bradley,255,0.775,0.184,38392,29761,7070,0.766,0.214,45968,35194,9849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26023,Branch County,MI,MI,Branch,256,0.669,0.287,16490,11025,4740,0.685,0.3,20541,14067,6161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
